char_id,ontology,list_of_finest_character
74,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
75,hao,"http://purl.obolibrary.org/obo/HAO_0000853"
75,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
76,hao,"http://purl.obolibrary.org/obo/HAO_0000131,http://purl.obolibrary.org/obo/HAO_0000855"
76,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
77,hao,"http://purl.obolibrary.org/obo/HAO_0001852"
77,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
78,hao,"http://purl.obolibrary.org/obo/HAO_0000840"
78,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
79,hao,"http://purl.obolibrary.org/obo/HAO_0000853,http://purl.obolibrary.org/obo/HAO_0000188"
79,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
80,hao,"http://purl.obolibrary.org/obo/HAO_0000770"
80,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
81,hao,"http://purl.obolibrary.org/obo/HAO_0000836"
81,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
82,hao,"http://purl.obolibrary.org/obo/HAO_0000582"
82,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
83,hao,"http://purl.obolibrary.org/obo/HAO_0000853,http://purl.obolibrary.org/obo/HAO_0000566"
83,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
84,hao,"http://purl.obolibrary.org/obo/HAO_0001055"
84,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
85,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
85,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
86,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
86,hao,"http://purl.obolibrary.org/obo/PATO_0000140"
87,hao,"http://purl.obolibrary.org/obo/HAO_0000761"
87,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
88,hao,"http://purl.obolibrary.org/obo/HAO_0000811,http://purl.obolibrary.org/obo/HAO_0000582"
88,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
89,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
89,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
90,hao,"http://purl.obolibrary.org/obo/HAO_0001285"
90,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
91,hao,"http://purl.obolibrary.org/obo/HAO_0000582"
91,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
92,hao,"http://purl.obolibrary.org/obo/HAO_0000582,http://purl.obolibrary.org/obo/HAO_0000829"
92,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
93,hao,"http://purl.obolibrary.org/obo/HAO_0000193"
93,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
94,hao,"http://purl.obolibrary.org/obo/HAO_0000193"
94,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
95,hao,"http://purl.obolibrary.org/obo/HAO_0000192"
95,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
96,hao,"http://purl.obolibrary.org/obo/HAO_0000192"
96,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
97,hao,"http://purl.obolibrary.org/obo/HAO_0001284"
97,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
98,hao,"http://purl.obolibrary.org/obo/HAO_0000270"
98,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
99,hao,"http://purl.obolibrary.org/obo/HAO_0000862,"
99,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
100,hao,"http://purl.obolibrary.org/obo/HAO_0000856"
100,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
101,hao,"http://purl.obolibrary.org/obo/HAO_0000856,http://purl.obolibrary.org/obo/HAO_0000825"
101,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
102,hao,"http://purl.obolibrary.org/obo/HAO_0000497"
102,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
103,hao,"http://purl.obolibrary.org/obo/HAO_0000862,ttp://purl.obolibrary.org/obo/HAO_0000873"
103,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
104,hao,"http://purl.obolibrary.org/obo/HAO_0000295"
104,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
105,hao,"http://purl.obolibrary.org/obo/HAO_0000862,http://purl.obolibrary.org/obo/HAO_0000853"
105,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
106,hao,"http://purl.obolibrary.org/obo/HAO_0002500"
106,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
107,hao,"http://purl.obolibrary.org/obo/HAO_0002500"
107,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
108,hao,"http://purl.obolibrary.org/obo/HAO_0000873,http://purl.obolibrary.org/obo/HAO_0000862"
108,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
109,hao,"http://purl.obolibrary.org/obo/HAO_0000123"
109,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
110,hao,"http://purl.obolibrary.org/obo/HAO_0002501"
110,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
111,hao,"http://purl.obolibrary.org/obo/HAO_0000871"
